"Gene","Direction"
"23207_at","UP"
"9987_at","DOWN"
"100505658_at","DOWN"
"26751_at","DOWN"
"5531_at","UP"
"100874243_at","DOWN"
"51585_at","DOWN"
"1445_at","UP"
"55096_at","DOWN"
"3475_at","DOWN"
"7763_at","DOWN"
"399909_at","UP"
"100313771_at","DOWN"
"619568_at","DOWN"
"7264_at","UP"
"100874021_at","DOWN"
"125988_at","UP"
"7351_at","UP"
"9736_at","DOWN"
"5034_at","UP"
"9572_at","UP"
"27348_at","UP"
"9300_at","DOWN"
"6449_at","UP"
"54429_at","DOWN"
"53635_at","UP"
"84687_at","UP"
"2580_at","UP"
"3635_at","UP"
"687_at","DOWN"
"10273_at","UP"
"602_at","UP"
"4771_at","UP"
"5093_at","UP"
"23301_at","DOWN"
"101929491_at","DOWN"
"27241_at","DOWN"
"7703_at","UP"
"56969_at","DOWN"
"6835_at","UP"
"375519_at","DOWN"
"101929302_at","DOWN"
"84769_at","UP"
"100131117_at","DOWN"
"56829_at","UP"
"23350_at","DOWN"
"100505716_at","DOWN"
"100505696_at","DOWN"
"79594_at","UP"
"143884_at","DOWN"
"5519_at","DOWN"
"729438_at","UP"
"90120_at","UP"
"339883_at","DOWN"
"29994_at","DOWN"
"654841_at","DOWN"
"284361_at","UP"
"284695_at","DOWN"
"23589_at","UP"
"677810_at","DOWN"
"100288798_at","DOWN"
"26001_at","UP"
"57730_at","DOWN"
"11282_at","UP"
"64332_at","DOWN"
"4650_at","UP"
"79612_at","DOWN"
"162427_at","UP"
"7917_at","UP"
"8078_at","UP"
"100616349_at","DOWN"
"94104_at","DOWN"
"5976_at","UP"
"51341_at","UP"
"3178_at","DOWN"
"10421_at","UP"
"58191_at","UP"
"9619_at","UP"
"79143_at","UP"
"4515_at","DOWN"
"84190_at","DOWN"
"8087_at","DOWN"
"9516_at","UP"
"60625_at","DOWN"
"684959_at","DOWN"
"148362_at","UP"
"6050_at","UP"
"5276_at","DOWN"
"100272228_at","DOWN"
"54454_at","DOWN"
"23295_at","UP"
"149603_at","UP"
"81847_at","DOWN"
"9958_at","DOWN"
"3489_at","UP"
"6778_at","UP"
"5119_at","UP"
"8878_at","UP"
"1974_at","DOWN"
"4615_at","UP"
"2588_at","UP"
"29894_at","UP"
"100996511_at","DOWN"
"54469_at","DOWN"
"2286_at","UP"
"677814_at","DOWN"
"10291_at","UP"
"90632_at","DOWN"
"101928829_at","DOWN"
"1536_at","UP"
"2354_at","DOWN"
"10493_at","UP"
"641977_at","DOWN"
"130940_at","DOWN"
"55731_at","UP"
"92806_at","UP"
"199990_at","UP"
"9149_at","UP"
"79811_at","DOWN"
"4150_at","UP"
"9141_at","DOWN"
"10349_at","DOWN"
"29978_at","UP"
"93627_at","DOWN"
"1316_at","DOWN"
"23360_at","DOWN"
"11344_at","UP"
"49855_at","DOWN"
"51150_at","UP"
"57396_at","DOWN"
"100287569_at","DOWN"
"7538_at","DOWN"
"23220_at","UP"
"23368_at","UP"
"6675_at","DOWN"
"60487_at","DOWN"
"9092_at","UP"
"10474_at","UP"
"79701_at","UP"
"51655_at","DOWN"
"64848_at","DOWN"
"100033821_at","DOWN"
"56832_at","DOWN"
"347862_at","UP"
"400242_at","DOWN"
"23373_at","UP"
"409_at","UP"
"100507367_at","DOWN"
"6427_at","DOWN"
"54778_at","UP"
"79414_at","UP"
"54103_at","DOWN"
"162_at","UP"
"23484_at","UP"
"10984_at","DOWN"
"6659_at","UP"
"112616_at","UP"
"91107_at","UP"
"84876_at","UP"
"2595_at","DOWN"
"378925_at","DOWN"
"55690_at","UP"
"64061_at","DOWN"
"693143_at","DOWN"
"578_at","UP"
"401105_at","DOWN"
"692111_at","DOWN"
"1611_at","UP"
"100507217_at","DOWN"
"7791_at","UP"
"51330_at","UP"
"23603_at","UP"
"10772_at","DOWN"
"79180_at","UP"
"55966_at","UP"
"112812_at","UP"
"4035_at","UP"
"102724811_at","DOWN"
"5777_at","UP"
"1436_at","UP"
"23598_at","UP"
"55239_at","UP"
"11082_at","DOWN"
"202299_at","DOWN"
"25930_at","UP"
"693197_at","DOWN"
"23014_at","DOWN"
"100507098_at","DOWN"
"10318_at","UP"
"100874291_at","DOWN"
"4043_at","UP"
"10560_at","DOWN"
"55654_at","UP"
"1278_at","UP"
"81550_at","DOWN"
"84752_at","UP"
"50488_at","UP"
"9921_at","UP"
"58526_at","UP"
"309_at","UP"
"27316_at","DOWN"
"9545_at","UP"
"8013_at","DOWN"
"100507577_at","DOWN"
"83743_at","UP"
"8818_at","UP"
"83985_at","UP"
"79890_at","UP"
"9906_at","UP"
"5127_at","UP"
"64114_at","UP"
"9406_at","DOWN"
"7040_at","UP"
"55186_at","DOWN"
"554201_at","DOWN"
"140459_at","UP"
"286077_at","UP"
"51366_at","DOWN"
"8724_at","UP"
"100128054_at","DOWN"
"58487_at","DOWN"
"101927884_at","DOWN"
"3728_at","UP"
"23398_at","DOWN"
"140890_at","DOWN"
"51155_at","UP"
"4814_at","UP"
"23466_at","UP"
"1059_at","UP"
"5970_at","UP"
"100337591_at","DOWN"
"56905_at","UP"
"5914_at","UP"
"23469_at","DOWN"
"56664_at","DOWN"
"79315_at","DOWN"
"101927783_at","DOWN"
"26795_at","DOWN"
"22809_at","UP"
"400506_at","UP"
"11214_at","DOWN"
"402176_at","DOWN"
"767563_at","DOWN"
"8625_at","UP"
