"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"100130275_at",NA,5.27042687986667,NA,NA,NA,NA
"100130285_at",NA,3.67872876693333,NA,NA,NA,NA
"100130331_at",NA,2.6367188324,NA,NA,NA,NA
"100130357_at",NA,4.46345140553333,NA,NA,NA,NA
"100130418_at",NA,4.12722059013333,NA,NA,NA,NA
"100130449_at",NA,2.7459121436,NA,NA,NA,NA
"100130452_at",NA,3.96183214766667,NA,NA,NA,NA
"100130458_at",NA,1.749686199,NA,NA,NA,NA
"100130460_at",NA,2.427406331,NA,NA,NA,NA
"100130476_at",NA,3.3269172684,NA,NA,NA,NA
"100130502_at",NA,2.02179950286667,NA,NA,NA,NA
"100130519_at",NA,4.8614237698,NA,NA,NA,NA
"100130522_at",NA,3.21699168933333,NA,NA,NA,NA
"100130548_at",NA,2.3039094512,NA,NA,NA,NA
"100130557_at",NA,3.20863893726667,NA,NA,NA,NA
"100130581_at",NA,2.658475413,NA,NA,NA,NA
"100130613_at",NA,2.1444429678,NA,NA,NA,NA
"100130691_at",NA,4.08056636893333,NA,NA,NA,NA
"100130700_at",NA,2.68484348446667,NA,NA,NA,NA
"100130705_at",NA,3.1481349586,NA,NA,NA,NA
"100130717_at",NA,2.80576066653333,NA,NA,NA,NA
"100130733_at",NA,5.476247983,NA,NA,NA,NA
"100130744_at",NA,2.00698569826667,NA,NA,NA,NA
"100130776_at",NA,5.37886096626667,NA,NA,NA,NA
"100130855_at",NA,3.6072364286,NA,NA,NA,NA
"100130872_at",NA,3.63163012006667,NA,NA,NA,NA
"100130889_at",NA,6.2306366186,NA,NA,NA,NA
"100130894_at",NA,4.56424988513333,NA,NA,NA,NA
"100130933_at",NA,5.70201596466667,NA,NA,NA,NA
"100130938_at",NA,6.89451462346667,NA,NA,NA,NA
"100130950_at",NA,3.59870042513333,NA,NA,NA,NA
"100130958_at",NA,7.84631964666667,NA,NA,NA,NA
"100130964_at",NA,1.56582966273333,NA,NA,NA,NA
"100130967_at",NA,5.2576828838,NA,NA,NA,NA
"100130987_at",NA,5.95917930706667,NA,NA,NA,NA
"100130992_at",NA,1.71512566633333,NA,NA,NA,NA
"100131017_at",NA,7.2940440072,NA,NA,NA,NA
"100131067_at",NA,5.55258011746667,NA,NA,NA,NA
"100131096_at",NA,5.395571017,NA,NA,NA,NA
"100131117_at",NA,4.6206427564,NA,NA,NA,NA
"100131138_at",NA,4.01643129386667,NA,NA,NA,NA
"100131187_at",NA,8.83118062906667,NA,NA,NA,NA
"100131211_at",NA,8.20158652446667,NA,NA,NA,NA
"100131213_at",NA,4.81197371806667,NA,NA,NA,NA
"100131347_at",NA,2.4938638926,NA,NA,NA,NA
"100131366_at",NA,2.42263109306667,NA,NA,NA,NA
"100131434_at",NA,5.48001991546667,NA,NA,NA,NA
"100131454_at",NA,5.873270921,NA,NA,NA,NA
"100131496_at",NA,3.07013144426667,NA,NA,NA,NA
"100131561_at",NA,1.81527521393333,NA,NA,NA,NA
"100131564_at",NA,7.00193039053333,NA,NA,NA,NA
"100131655_at",NA,1.99252809473333,NA,NA,NA,NA
"100131691_at",NA,2.0761493536,NA,NA,NA,NA
"100131733_at",NA,2.94998785413333,NA,NA,NA,NA
"100131755_at",NA,2.56873807,NA,NA,NA,NA
"100131801_at",NA,10.5276001538,NA,NA,NA,NA
"100131814_at",NA,1.8875970492,NA,NA,NA,NA
"100131816_at",NA,2.08859204113333,NA,NA,NA,NA
"100131825_at",NA,2.1981367874,NA,NA,NA,NA
"100131827_at",NA,2.32724972426667,NA,NA,NA,NA
"100131998_at",NA,6.86830880646667,NA,NA,NA,NA
"100132074_at",NA,5.04430950726667,NA,NA,NA,NA
"100132078_at",NA,2.9099567938,NA,NA,NA,NA
"100132341_at",NA,3.5819676752,NA,NA,NA,NA
"100132354_at",NA,2.0621829798,NA,NA,NA,NA
"100132356_at",NA,4.83393209166667,NA,NA,NA,NA
"100132386_at",NA,2.870828922,NA,NA,NA,NA
"100132464_at",NA,5.61412959733333,NA,NA,NA,NA
"100132476_at",NA,1.4453557146,NA,NA,NA,NA
"100132596_at",NA,1.95508851506667,NA,NA,NA,NA
"100132618_at",NA,3.68579933913333,NA,NA,NA,NA
"100132677_at",NA,2.15409280993333,NA,NA,NA,NA
"100132707_at",NA,5.91327330406667,NA,NA,NA,NA
"100132735_at",NA,6.0491335662,NA,NA,NA,NA
"100132815_at",NA,6.07754847586667,NA,NA,NA,NA
"100132891_at",NA,6.19612956253333,NA,NA,NA,NA
"100132911_at",NA,5.7159289532,NA,NA,NA,NA
"100132987_at",NA,3.2974214356,NA,NA,NA,NA
"100133205_at",NA,4.31248825373333,NA,NA,NA,NA
"100133308_at",NA,1.83188834926667,NA,NA,NA,NA
"100133311_at",NA,6.28607319866667,NA,NA,NA,NA
"100133461_at",NA,3.6988455682,NA,NA,NA,NA
"100133612_at",NA,5.0905811858,NA,NA,NA,NA
"100133985_at",NA,3.3979856364,NA,NA,NA,NA
"100133991_at",NA,3.1447961748,NA,NA,NA,NA
"100134040_at",NA,1.61713873506667,NA,NA,NA,NA
"100134229_at",NA,4.67190616,NA,NA,NA,NA
"100134259_at",NA,6.14132335973333,NA,NA,NA,NA
"100134368_at",NA,3.2176860174,NA,NA,NA,NA
"100134713_at",NA,6.26513429973333,NA,NA,NA,NA
"100137047_at",NA,7.040002179,NA,NA,NA,NA
"10013_at",NA,8.61983107773333,NA,NA,NA,NA
"100141515_at",NA,3.45288295046667,NA,NA,NA,NA
"100144596_at",NA,3.6884838216,NA,NA,NA,NA
"100144597_at",NA,3.07090348453333,NA,NA,NA,NA
"100144602_at",NA,3.56335628746667,NA,NA,NA,NA
"100144603_at",NA,5.88140768493333,NA,NA,NA,NA
"100144604_at",NA,3.3668879252,NA,NA,NA,NA
"100144748_at",NA,2.70364206846667,NA,NA,NA,NA
"100147773_at",NA,4.415220534,NA,NA,NA,NA
"10014_at",NA,5.88824362833333,NA,NA,NA,NA
"10015_at",NA,9.42464579166667,NA,NA,NA,NA
"100169752_at",NA,1.6632400342,NA,NA,NA,NA
"100169890_at",NA,4.36152192626667,NA,NA,NA,NA
"100169989_at",NA,2.17488663746667,NA,NA,NA,NA
"10016_at",NA,9.588217704,NA,NA,NA,NA
"100170229_at",NA,3.7953489602,NA,NA,NA,NA
"100170765_at",NA,3.12601730913333,NA,NA,NA,NA
"100170841_at",NA,9.0731606662,NA,NA,NA,NA
"10017_at",NA,3.68479042413333,NA,NA,NA,NA
"100188893_at",NA,12.0672120353333,NA,NA,NA,NA
"100188953_at",NA,2.8606920884,NA,NA,NA,NA
"100189589_at",NA,1.73849939453333,NA,NA,NA,NA
"10018_at",NA,4.55556560626667,NA,NA,NA,NA
"100190938_at",NA,2.9753469938,NA,NA,NA,NA
"100190939_at",NA,4.25818274006667,NA,NA,NA,NA
"100192378_at",NA,4.85023866,NA,NA,NA,NA
"100192379_at",NA,2.1819581176,NA,NA,NA,NA
"100192386_at",NA,2.519376035,NA,NA,NA,NA
"10019_at",NA,10.0161246513333,NA,NA,NA,NA
"1001_at",NA,6.11903603453333,NA,NA,NA,NA
"10020_at",NA,9.61901992346667,NA,NA,NA,NA
"100216545_at",NA,5.23824469953333,NA,NA,NA,NA
"100216546_at",NA,4.32671201573333,NA,NA,NA,NA
"10021_at",NA,3.63888127333333,NA,NA,NA,NA
"10022_at",NA,2.86533133406667,NA,NA,NA,NA
"10023_at",NA,5.04825522653333,NA,NA,NA,NA
"100240728_at",NA,3.0442544576,NA,NA,NA,NA
"10024_at",NA,7.5467056524,NA,NA,NA,NA
"10025_at",NA,7.20766974093333,NA,NA,NA,NA
"100268168_at",NA,4.027199665,NA,NA,NA,NA
"10026_at",NA,9.08537701973333,NA,NA,NA,NA
"100270679_at",NA,2.56081899653333,NA,NA,NA,NA
"100270680_at",NA,1.91011170226667,NA,NA,NA,NA
"100270804_at",NA,5.59649234873333,NA,NA,NA,NA
"100271722_at",NA,5.03422767193333,NA,NA,NA,NA
"100271832_at",NA,2.94469525833333,NA,NA,NA,NA
"100272147_at",NA,10.22885643,NA,NA,NA,NA
"100272217_at",NA,3.37920590573333,NA,NA,NA,NA
"100272228_at",NA,5.23687487453333,NA,NA,NA,NA
