Gene
CCND1
CDK4
FKBP1A
FKBP1B
IL2
IL2RA
IL2RB
IL2RG
JAK1
JAK3
MYC
NFATC1
NFATC2
NFATC3
NFATC4
PPP3CA
PPP3CB
PPP3CC
PPP3R1
PPP3R2
STAT5A
STAT5B
