"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe","Gene"
0.492612879734264,6.20265080152143,6.11081834962731,3.29187041090934e-09,4.28214397880561e-05,10.4962465623712,"10486_at","10486_at"
0.537428944278364,7.64537951109286,6.10777341459413,3.34777889047425e-09,4.28214397880561e-05,10.4808324345779,"27242_at","27242_at"
0.219863468461199,8.97624091772857,5.73379928045628,2.52835524942903e-08,0.000170513261818055,8.63229704064408,"51669_at","51669_at"
0.633880981486573,6.52095096884643,5.68227169062942,3.31609545481557e-08,0.000170513261818055,8.38466763332947,"4907_at","4907_at"
0.938938755604017,2.51842434078214,5.68132064021456,3.33268043581532e-08,0.000170513261818055,8.38011350121093,"1113_at","1113_at"
0.433033747659521,2.82972872873929,5.56668134745877,6.05320442869992e-08,0.000235932717850752,7.83554285109199,"57156_at","57156_at"
0.214089685918409,8.62609765882857,5.55420690607843,6.4558245053368e-08,0.000235932717850752,7.77681285460846,"3916_at","3916_at"
0.908872476104999,2.81281985865357,5.48973495048562,8.98965121242674e-08,0.000267624769982972,7.47494012223905,"25891_at","25891_at"
1.53657378008445,3.47584878387857,5.48068133654521,9.41530345495564e-08,0.000267624769982972,7.43277292228867,"51778_at","51778_at"
0.193880260893455,9.14939524790714,5.26465146151194,2.79132038477163e-07,0.00065879384490211,6.44316571661312,"6185_at","6185_at"
0.337599644291109,7.66795090815714,5.25977490647276,2.85955130115301e-07,0.00065879384490211,6.42119689883351,"6990_at","6990_at"
0.270731048349473,7.67705480661429,5.24408333132952,3.0902689933646e-07,0.00065879384490211,6.35061848120467,"5034_at","5034_at"
0.318219254060569,6.23863659509643,5.16453288223765,4.56724353064881e-07,0.000858844763445738,5.99544998117207,"291_at","291_at"
0.669313487103926,6.23458272412143,5.1539860149111,4.80838231052642e-07,0.000858844763445738,5.94869363258462,"10082_at","10082_at"
0.431612967172057,6.80927069800714,5.14169525311938,5.10498454639639e-07,0.000858844763445738,5.89430477189494,"79887_at","79887_at"
0.318218777647431,5.83445953302143,5.1312258721492,5.3715566473035e-07,0.000858844763445738,5.84805959336453,"56605_at","56605_at"
0.951634795615511,2.65244284278571,5.10528873756445,6.09139799196286e-07,0.000916647902531729,5.73382297448082,"3739_at","3739_at"
0.752995573857068,3.02357304777857,5.08992310652846,6.56104445586038e-07,0.000932470218165669,5.66637101219697,"284485_at","284485_at"
-0.384393936839974,5.553581038,-5.07059325566784,7.20186413539149e-07,0.000969674149008343,5.58175408434686,"9258_at","9258_at"
0.481799180473945,4.58974318066429,5.05044807105491,7.93410997845731e-07,0.00101485200734447,5.49384979141859,"6575_at","6575_at"
0.58650816061825,4.913625805275,4.99518729166287,1.03322457957454e-06,0.00120236720702548,5.25419905005946,"1605_at","1605_at"
0.277403777728725,5.728704979325,4.99502733912831,1.03401135777346e-06,0.00120236720702548,5.25350854138205,"23423_at","23423_at"
0.303722364982849,7.57818012063929,4.97025043803306,1.16314589366969e-06,0.00129372166312427,5.14676865287239,"84898_at","84898_at"
0.847179070913765,2.390003310575,4.93741199178067,1.3585324225054e-06,0.00140134619562581,5.0059775018332,"1010_at","1010_at"
0.631037754663869,2.41956898548929,4.92702805102963,1.42666583781688e-06,0.00140134619562581,4.96161880937608,"57467_at","57467_at"
0.728228125912871,3.02681199018214,4.92602203095038,1.43343958382352e-06,0.00140134619562581,4.95732536162013,"54413_at","54413_at"
0.551657710302188,2.65735749581429,4.91936937875579,1.47902225322089e-06,0.00140134619562581,4.92895182009009,"547_at","547_at"
-0.144481004409505,11.1039648654286,-4.89746768393321,1.63920211044423e-06,0.00149764529962087,4.83576665888792,"6135_at","6135_at"
0.631188091560838,2.41928764773571,4.88253008452708,1.75793174063423e-06,0.00151865143752886,4.7724103799286,"57709_at","57709_at"
0.466346552749867,3.42269214311071,4.87490759695121,1.82167773569185e-06,0.00151865143752886,4.74014259557083,"815_at","815_at"
0.505081546486928,2.69194055419286,4.87273106421812,1.84028592617444e-06,0.00151865143752886,4.73093654224126,"286_at","286_at"
0.749431142801503,4.85234048535714,4.8577883078543,1.9730870548251e-06,0.00157735978239174,4.66782605569166,"222865_at","222865_at"
0.852190438013879,2.484446832525,4.84858078668375,2.05947612652965e-06,0.00159653085663277,4.62901890128577,"221301_at","221301_at"
0.413335106671968,8.24146115268929,4.82085907414705,2.34219659552621e-06,0.00176229627372798,4.51255160268637,"5066_at","5066_at"
0.327140925755524,5.67495685820357,4.7942516992636,2.64856295797534e-06,0.00186190123985605,4.40129252593897,"7436_at","7436_at"
0.633810740700854,6.21639220041429,4.79312736892558,2.66232569672013e-06,0.00186190123985605,4.39660250435044,"5507_at","5507_at"
-0.305072497994938,7.831043660425,-4.79064775139069,2.69292259693042e-06,0.00186190123985605,4.38626231495805,"7358_at","7358_at"
0.301893950684415,6.61472285562143,4.76913274723429,2.9730348843768e-06,0.00200147837926651,4.29673194296492,"54928_at","54928_at"
0.732491832467157,2.4592363489,4.73274393074486,3.5119133551704e-06,0.00230363506287101,4.14607941012137,"5593_at","5593_at"
0.290707488714788,8.12255025446429,4.71611398740502,3.78845106078752e-06,0.00242290387592666,4.0775541445709,"81533_at","81533_at"
0.695593697742006,3.74221090757857,4.70485552851484,3.98745494360559e-06,0.00244023569536593,4.03127823174541,"140733_at","140733_at"
1.27260857556352,4.37875016971071,4.70381603650379,4.006328637533e-06,0.00244023569536593,4.02701029589519,"4745_at","4745_at"
0.649694551825444,7.83545243284643,4.68967566573631,4.27177700605487e-06,0.00246699471524406,3.96903211329999,"55959_at","55959_at"
0.253574956982491,7.23885558178929,4.68547462479763,4.35385176797518e-06,0.00246699471524406,3.9518355078316,"26123_at","26123_at"
0.500923848089514,4.27017813173929,4.68533566247996,4.35659243002865e-06,0.00246699471524406,3.95126690019717,"10154_at","10154_at"
0.345546267646597,5.16882314670714,4.68034046081393,4.45622044415046e-06,0.00246699471524406,3.93083695527971,"51735_at","51735_at"
0.394703655942947,7.30099911795,4.67659126864863,4.53243497836256e-06,0.00246699471524406,3.91551520385534,"79016_at","79016_at"
0.403194671324639,5.97815883001429,4.65231317952426,5.05722047742381e-06,0.002695287796947,3.81655028725484,"11092_at","11092_at"
0.680586710535944,3.74010817911786,4.64263090546945,5.28242414417056e-06,0.00275785662155452,3.77720425427235,"4958_at","4958_at"
0.356451837476685,2.08575385559643,4.63785176511031,5.39711218585765e-06,0.00276137847877221,3.75780882659669,"100130519_at","100130519_at"
0.513275699062594,3.31895488757143,4.6247865079495,5.72301061333163e-06,0.00282556610899979,3.70487204565791,"401541_at","401541_at"
0.463542564401407,5.74991636031429,4.62399038048442,5.74346953592327e-06,0.00282556610899979,3.70165046146859,"9372_at","9372_at"
0.387456888982372,7.20335671739643,4.61683053389564,5.93065360529979e-06,0.00286260340624112,3.67269884463185,"53339_at","53339_at"
0.30407571838753,6.463504721875,4.61079395511833,6.09301926057434e-06,0.00288651145785209,3.64831893308854,"80790_at","80790_at"
0.438835782967603,2.687118143975,4.60145998099097,6.35252286300274e-06,0.00295473163420611,3.61067528189528,"631_at","631_at"
0.249408323507594,5.65976338068571,4.59542310906734,6.5259869337983e-06,0.00298121067393622,3.5863633392312,"81855_at","81855_at"
0.171260637100412,7.30402737628929,4.589338641579,6.70542387036954e-06,0.00298825857049802,3.56188723005157,"4756_at","4756_at"
0.175896202804241,7.70178225922143,4.58319779289937,6.89132981498991e-06,0.00298825857049802,3.53721233813004,"22820_at","22820_at"
-0.161114628260974,11.1400732213929,-4.58318089972545,6.89184800482305e-06,0.00298825857049802,3.53714449755658,"6125_at","6125_at"
0.36656395931386,3.08613135808214,4.57690207472693,7.08706519750628e-06,0.00302168836471009,3.51194440105014,"100128361_at","100128361_at"
0.309685129752428,6.34298007614643,4.56948128872985,7.32464598492502e-06,0.00307178841944839,3.48219903569428,"22875_at","22875_at"
-0.203268354101722,9.16543716887857,-4.56148483153869,7.58922377361545e-06,0.00313141165446178,3.45019227167839,"3646_at","3646_at"
0.462875481739743,3.3062062483,4.54386876802887,8.20487993967269e-06,0.00328856085852851,3.37985085178424,"27286_at","27286_at"
0.491012378799001,5.24657579013571,4.54325461540321,8.22718688710126e-06,0.00328856085852851,3.3774027199432,"57715_at","57715_at"
0.501720988175035,3.48475300528214,4.53696379996857,8.45906009313407e-06,0.00332922577388547,3.35234259973623,"137970_at","137970_at"
0.4147116869813,6.47991081311071,4.52380347463207,8.96461289345927e-06,0.00347473828849205,3.30001315627277,"6482_at","6482_at"
0.830144265611759,3.35511525471071,4.5184825360806,9.17714961350862e-06,0.00349288589393398,3.27889243471946,"102723721_at","102723721_at"
0.381002310914539,2.11232556379286,4.5135812136447,9.37720150248126e-06,0.00349288589393398,3.25945615798925,"4675_at","4675_at"
-0.343983406263416,5.89621995273929,-4.51252050672485,9.42104318198125e-06,0.00349288589393398,3.25525228537929,"892_at","892_at"
0.715041124381218,6.57010425044643,4.50700326111,9.65227840775287e-06,0.00351210666965394,3.23339958235816,"81606_at","81606_at"
0.198062011241439,9.76814699198214,4.50476898721247,9.74746202585528e-06,0.00351210666965394,3.22455659013876,"5441_at","5441_at"
0.311108503999286,4.40613650701429,4.49489748638788,1.01788997071194e-05,0.00357247296558976,3.18553136005247,"10300_at","10300_at"
0.299679683377644,2.23449242206429,4.4930277603705,1.02626562645122e-05,0.00357247296558976,3.17814800071394,"7504_at","7504_at"
0.395514961185637,6.58253657298571,4.49132107159757,1.03396867134483e-05,0.00357247296558976,3.17141075981072,"56172_at","56172_at"
1.52128442930928,6.76314552144286,4.48838307381167,1.04735936369022e-05,0.00357247296558976,3.1598180087877,"1893_at","1893_at"
0.724765600589604,3.50377834792857,4.48233042199232,1.07547261218116e-05,0.00362009741642347,3.13595598076112,"1439_at","1439_at"
0.600693414762672,5.75946965128571,4.46209975098717,1.17479219505525e-05,0.0039030563550524,3.05639914964686,"56648_at","56648_at"
0.273862732449705,4.96443721746786,4.45545983490039,1.20926645071706e-05,0.00392009907919823,3.03035520525764,"64393_at","64393_at"
0.925630653863442,3.65447853198929,4.45521248471968,1.21056925672997e-05,0.00392009907919823,3.0293856605783,"9902_at","9902_at"
0.156589610263891,8.33568364284643,4.4504680404372,1.235820677298e-05,0.00392835333805587,3.01079770647315,"3073_at","3073_at"
0.284975405971355,6.19060142166071,4.4489825768497,1.24383011641985e-05,0.00392835333805587,3.00498140682731,"9270_at","9270_at"
0.437147289982849,6.66938471390714,4.43404155710451,1.3272090225435e-05,0.00414056844081804,2.94657314057173,"11098_at","11098_at"
0.693618268530703,2.948397739725,4.41949396272117,1.41352621574024e-05,0.0043567262230201,2.88986553547108,"1960_at","1960_at"
-0.196314475001787,7.30431764016071,-4.41032582915143,1.47066264247816e-05,0.00443718826226843,2.85421001745852,"10428_at","10428_at"
0.278576122586446,6.423946230475,4.40747001291329,1.48890800673277e-05,0.00443718826226843,2.84311659491385,"2677_at","2677_at"
0.304088306440177,5.69958877396071,4.40704112739002,1.49166676004646e-05,0.00443718826226843,2.84145112397901,"282991_at","282991_at"
0.389472825372284,2.63441791715,4.4007167889043,1.53292052499093e-05,0.00450749113451932,2.81690835955419,"84627_at","84627_at"
0.326498297755823,5.98888965266429,4.38566893510658,1.63552020006474e-05,0.00475453156341548,2.75863476531608,"23220_at","23220_at"
0.395541444692872,6.83685741559286,4.37715305900734,1.6964657968535e-05,0.00478822998386215,2.72573302970428,"5789_at","5789_at"
0.615117953835508,6.49402448772857,4.37688629737841,1.69840964364229e-05,0.00478822998386215,2.72470326896951,"92689_at","92689_at"
0.342837572239951,4.98730004620357,4.37294104882315,1.72740832933337e-05,0.00478822998386215,2.70948004702696,"79143_at","79143_at"
0.295185055022692,6.08675522736429,4.37169390091438,1.73667346490639e-05,0.00478822998386215,2.70467024502979,"64374_at","64374_at"
0.32120905657376,5.93025965846429,4.37115414286217,1.74069810217802e-05,0.00478822998386215,2.70258895985584,"23659_at","23659_at"
0.209781404782205,7.63198946766429,4.35886173486804,1.83481074841355e-05,0.00499341793254421,2.65525013895788,"23326_at","23326_at"
1.09280650261164,5.2626368048,4.35455242370914,1.86894252488341e-05,0.00503276712332287,2.63868203773594,"650_at","650_at"
0.596607691436247,4.43415671500714,4.33965775366018,1.9916594887544e-05,0.00530735760847032,2.58152552841718,"11221_at","11221_at"
1.05205454074945,3.29951631281429,4.33351112129588,2.04451825661e-05,0.00539204804542236,2.55798804747929,"23127_at","23127_at"
-0.512692348473826,3.29340685397143,-4.33004656178215,2.07490123291557e-05,0.00539754258750374,2.544733857622,"9388_at","9388_at"
-0.370671339879817,7.10823121402143,-4.32847789273893,2.08879960973681e-05,0.00539754258750374,2.53873570424224,"1368_at","1368_at"
0.279072466832708,5.33584995355714,4.31743249565698,2.18921460267588e-05,0.00554665708761392,2.49655457965775,"2975_at","2975_at"
0.209163073925675,4.89203071922143,4.31736208348202,2.18986930595343e-05,0.00554665708761392,2.49628598359448,"22845_at","22845_at"
0.545186603219643,3.395405171275,4.30877455839949,2.27113779338301e-05,0.00569610265003179,2.46355631741099,"8507_at","8507_at"
