"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe","Entrez","Gene"
-1.03423225934796,8.93104381779592,-11.340263632865,1.25493694304673e-19,3.21037968770213e-15,33.6904775086215,"6430_at","6430","SRSF5"
-2.60878192984744,2.02854214893878,-10.7414195638265,2.50663169465086e-18,3.20623260062791e-14,30.8457333699989,"677847_at","677847","SNORA81"
-1.62251003601045,6.1608925215102,-10.5669233003213,6.0174808345729e-18,5.13130649033479e-14,30.0126093439862,"10157_at","10157","AASS"
-1.95844293288924,3.52259394990816,-10.348491875544,1.80362462532605e-17,1.15350812912728e-13,28.9676082492347,"4493_at","4493","MT1E"
-1.81650326858307,1.87480696571429,-9.99442894001196,1.07144308595209e-16,5.48193140496527e-13,27.2698541710162,"439996_at","439996","IFIT1B"
-1.55105499542634,5.56838200717347,-9.62639506070076,6.83766591539796e-16,2.91535282412851e-12,25.5020239894843,"57018_at","57018","CCNL1"
-1.60063681973668,4.18113660967347,-9.46305242814126,1.55623123389755e-15,5.68735820365246e-12,24.7170771895956,"3653_at","3653","IPW"
-2.30717810848485,2.12245493469388,-9.12746807743693,8.41648821984438e-15,2.69138252050074e-11,23.1051436907792,"101926962_at","101926962","ADGRF5-AS1"
-1.12912646041275,7.2321253280102,-8.68553479940805,7.71969723120929e-14,2.1942810507644e-10,20.9872392404123,"1655_at","1655","DDX5"
-1.78857304838663,3.70289296828571,-8.57205392330917,1.36130275047415e-13,3.37224819420224e-10,20.444919701738,"100507062_at","100507062","PSMD6-AS2"
1.29818199363323,5.43050035931633,8.55941050824701,1.45003245001269e-13,3.37224819420224e-10,20.3845467420689,"7157_at","7157","TP53"
-1.28722084347022,3.38151886284694,-8.32020194769974,4.77719106561765e-13,1.01841751533859e-09,19.2444524764752,"64651_at","64651","CSRNP1"
-1.30310585401881,6.43176413295918,-8.294211497357,5.43629624174937e-13,1.06977946504948e-09,19.1208485124073,"1195_at","1195","CLK1"
0.804404803484847,7.15796873558163,8.22652635618912,7.60939216830084e-13,1.39045336035337e-09,18.799230784543,"113829_at","113829","SLC35A4"
-1.33347127280983,1.44381775268367,-8.01705262479972,2.14808378645349e-12,3.66348529500354e-09,17.8066427223632,"767591_at","767591","SNORD114-13"
1.35708227437409,6.0146125985102,7.98720530225746,2.48942676342627e-12,3.98028221637317e-09,17.6655820245347,"57140_at","57140","RNPEPL1"
-1.73839333115256,3.17228215964286,-7.91883950204996,3.48842913481125e-12,5.24947024274950e-09,17.342857600026,"84460_at","84460","ZMAT1"
-0.900893285740862,7.86141936473469,-7.89175749069699,3.98664142532162e-12,5.45532259018714e-09,17.215165539021,"22936_at","22936","ELL2"
-1.1354007882999,1.92734201423469,-7.88847130915964,4.05172110130387e-12,5.45532259018714e-09,17.1996770831366,"50831_at","50831","TAS2R3"
-1.05963438952769,7.7225431344898,-7.84025824821987,5.13743347609663e-12,6.5712911592752e-09,16.9725894762154,"25957_at","25957","PNISR"
-1.81417041120063,2.76169753603061,-7.7779333673845,6.97970953626768e-12,8.50261568365713e-09,16.6794633941893,"100302650_at","100302650","BABAM2-AS1"
1.1609513149394,6.23164177078571,7.7530747532628,7.88603072333531e-12,9.17001990747109e-09,16.5626879523859,"58986_at","58986","PGAP6"
0.967509432053292,5.48732705521429,7.74032079149663,8.39551300984809e-12,9.33800060077973e-09,16.5028067338939,"9817_at","9817","KEAP1"
-0.745253832556948,8.17993072937755,-7.72215038804467,9.17837620834866e-12,9.52259270501391e-09,16.4175322263906,"9584_at","9584","RBM39"
1.01604491955591,7.09092372760204,7.71722089097291,9.40300106742052e-12,9.52259270501391e-09,16.3944055372417,"6238_at","6238","RRBP1"
-2.26997651959352,2.21140900658163,-7.71133893962853,9.67818819210232e-12,9.52259270501391e-09,16.3668147231224,"692227_at","692227","SNORD104"
1.10630426647753,3.82812868452041,7.68599266011056,1.09585512896599e-11,1.02102421851393e-08,16.2479754691798,"10263_at","10263","CDK2AP2"
-1.27730654022153,2.03477184077551,-7.68199521742994,1.11753100298609e-11,1.02102421851393e-08,16.2292410208649,"27099_at","27099","SND1-IT1"
0.758223464968656,6.52440058178571,7.64937987048529,1.3110724342298e-11,1.15654672456782e-08,16.0764689581057,"390916_at","390916","NUDT19"
-0.826261370159874,6.35957583411224,-7.59883074642009,1.67881154611856e-11,1.43157856576016e-08,15.8399930308802,"58517_at","58517","RBM25"
1.42481607596552,5.74479159190816,7.57831023399157,1.85585371905833e-11,1.49319648508998e-08,15.7441012446557,"56005_at","56005","MYDGF"
-1.87890236120167,1.97872575106122,-7.57699552025104,1.86780890950197e-11,1.49319648508998e-08,15.7379597441764,"407006_at","407006","MIR221"
-1.8984356178161,7.58886505838776,-7.56697122660376,1.96151517736364e-11,1.52059034143384e-08,15.6911411180857,"54206_at","54206","ERRFI1"
2.80618687423198,10.5259420000612,7.51817568228282,2.48873994771304e-11,1.81802297775937e-08,15.4634569171741,"3040_at","3040","HBA2"
0.940194440644724,5.56635820968367,7.51621300905643,2.51266529863476e-11,1.81802297775937e-08,15.454306515214,"5364_at","5364","PLXNB1"
-1.91145993288611,3.90259383214286,-7.51251287683676,2.5583936830325e-11,1.81802297775937e-08,15.4370573248519,"117283_at","117283","IP6K3"
-1.22944708058934,5.3417425962449,-7.48722827690762,2.89378670615913e-11,2.00077977072873e-08,15.3192430742633,"57494_at","57494","RIMKLB"
-1.17277482243469,1.74054340002041,-7.47715956731592,3.0391931834951e-11,2.0460168426361e-08,15.2723555252781,"100873917_at","100873917","LPP-AS1"
1.04678919274713,6.97008354562245,7.46383215893165,3.24287462473096e-11,2.1271594525607e-08,15.210317656424,"4784_at","4784","NFIX"
-0.738940120076279,6.62698136666326,-7.43674217688819,3.69960141870376e-11,2.36608008733199e-08,15.0843037283033,"9295_at","9295","SRSF11"
-1.98089499405956,5.89943652023469,-7.41782515179275,4.05586990144518e-11,2.53066497118953e-08,14.9963781429214,"654319_at","654319","SNORA5A"
-0.914072048247652,5.5282383279898,-7.40008960387703,4.42074771506314e-11,2.69265638206537e-08,14.9139972475297,"257218_at","257218","SHPRH"
-1.15793301379206,2.06927097827551,-7.36448978685771,5.25437356371102e-11,3.12598568620594e-08,14.7487952828415,"339874_at","339874","NUDT16-DT"
1.23326367361233,5.06285099068367,7.35531134509261,5.49349687639392e-11,3.19396902481612e-08,14.7062370277328,"2050_at","2050","EPHB4"
-1.14818886603553,7.14845193797959,-7.27510368223068,8.09985986158197e-11,4.60468033286645e-08,14.3349509755359,"51747_at","51747","LUC7L3"
0.892910412289448,5.89196048435714,7.25992853615907,8.71617018516617e-11,4.79141064557134e-08,14.2648315862285,"57192_at","57192","MCOLN1"
-1.45621383185371,5.27554918383673,-7.25787849073457,8.80292003525342e-11,4.79141064557134e-08,14.2553621591631,"7072_at","7072","TIA1"
-1.16161407984849,1.72161201819388,-7.24427153518679,9.40082813151739e-11,5.01024969292662e-08,14.1925290496402,"647033_at","647033","PA2G4P4"
-1.76957742436677,3.91262767715306,-7.18778032451465,1.23450406891984e-10,6.43360019214608e-08,13.932030044506,"645460_at","645460","645460_at"
-2.18182059031348,1.93066001093878,-7.1839579141352,1.25744667972521e-10,6.43360019214608e-08,13.9144250318033,"25826_at","25826","SNORD82"
-0.974352909171371,1.91199623078571,-7.16778966505787,1.35926041185836e-10,6.8181568345413e-08,13.8399886906045,"10748_at","10748","KLRA1P"
