Gene
ALDH1A1
ATM
ATR
BAX
BCL2
CASP3
CASP8
CASP9
CDKN1A
CHEK1
CHEK2
CYP2B6
CYP2C9
CYP3A4
FAS
FASLG
GSTA1
GSTP1
MGMT
TP53
