Gene
AKT1
AKT2
BANK1
BLK
BTK
C1QA
C1QB
C1QC
C1R
C1S
CD19
CD22
CD4
CD79A
CD79B
CHUK
FCGR1A
FCGR2A
FCGR2B
FCGR2C
FCGR3A
FCGR3B
FOXP3
GZMB
IFNG
IKBKB
IKBKG
IL10
IL2
IL2RA
IL6
LYN
MAPK1
MAPK3
MAPK8
MS4A1
MTOR
NFKB1
PIK3CA
PIK3CB
PIK3CD
PLCG2
PRF1
RELA
SYK
TGFB1
TGFBR1
TGFBR2
TNF
TNFSF10
